time,strategy_cum_ret_pct,eur_usd_cum_ret_pct
2024-06-14 02:30:00+00:00,0.0,0.0
2024-06-14 04:30:00+00:00,1.0487524273642412,-0.060969366384011625
2024-06-26 07:00:00+00:00,1.8951647633478341,-0.5096294365686038
2024-06-28 09:00:00+00:00,2.864456343268329,-0.4444713350894913
2024-07-01 03:30:00+00:00,2.552940323268249,0.0898250970390091
2024-07-02 02:30:00+00:00,1.971331523268316,-0.07353557166925873
2024-07-12 04:30:00+00:00,1.870136583267823,1.1793616367715032
2024-07-17 01:30:00+00:00,3.2508060502272063,1.4832776386703772
2024-07-17 03:30:00+00:00,4.435717250227356,1.5191145944838835
2024-07-18 03:00:00+00:00,1.5663783702260625,1.795571110759453
2024-07-18 05:00:00+00:00,2.850941650227057,1.776954510336859
2024-07-25 04:30:00+00:00,1.8776020502260682,0.9024397054853583
2024-07-31 06:00:00+00:00,2.64004346850899,0.7176699462910996
2024-07-31 07:30:00+00:00,1.6194740685093079,0.6976571008368238
2024-08-02 08:00:00+00:00,2.4906566729726576,0.6245869441781293
2024-08-06 10:30:00+00:00,1.6409126729724832,1.539592854948757
2024-08-29 03:00:00+00:00,1.285221152972671,3.6386145525965308
2024-09-06 11:00:00+00:00,2.6660801529727163,3.3756550716273592
2024-09-11 04:30:00+00:00,1.850930352972191,2.8264653591607347
2024-09-11 10:30:00+00:00,2.013820272972655,2.844616544572798
2024-09-19 03:00:00+00:00,2.4125396369444108,3.4347627779690804
2024-10-11 10:30:00+00:00,3.2964013519604984,1.7871936405692956
2024-10-23 02:30:00+00:00,2.5183295119603155,0.5729258780054147
2024-10-23 06:00:00+00:00,3.317907640445461,0.5017173813889553
2024-10-23 10:30:00+00:00,2.597356840444953,0.3206709422792331
2024-10-29 03:00:00+00:00,1.2931406804453038,0.6231906991464253
2024-11-01 01:00:00+00:00,1.8799572826897482,1.3250365350783166
2024-11-04 02:00:00+00:00,1.2746830426899836,1.3566847557967332
2024-11-06 01:00:00+00:00,1.689376074507365,0.863344844597913
2024-11-06 02:00:00+00:00,2.589396583703807,0.36535078329344994
2024-11-06 03:00:00+00:00,2.8128241975181822,0.17406521395126884
2024-11-06 05:00:00+00:00,3.515015817797229,0.3085701520045392
2024-11-06 08:30:00+00:00,3.2489452177973055,0.2815760813917878
2024-11-06 10:30:00+00:00,6.220922200720169,0.03211363572896975
2024-11-07 02:00:00+00:00,5.670333400720318,-0.1289199579264766
2024-11-07 03:00:00+00:00,6.201560405884443,-0.05305731120441859
2024-11-07 03:30:00+00:00,4.784380565883706,-0.03071739069727686
2024-11-07 05:30:00+00:00,5.554780565884321,0.029786560676137164
2024-11-07 06:00:00+00:00,6.063335072415699,0.036767785834590505
2024-11-19 11:00:00+00:00,4.884890192415692,-1.7709041151995342
2024-11-19 11:30:00+00:00,5.466362192415586,-1.6852677532555815
2024-11-19 12:00:00+00:00,7.9987783098474985,-1.6401224972308004
2024-11-19 13:30:00+00:00,5.743914916281345,-1.5475049101283722
2024-11-28 03:30:00+00:00,9.006252960834061,-1.775092850294624
2024-11-29 03:30:00+00:00,10.252400520876858,-1.5758952257728276
2024-11-29 06:30:00+00:00,9.716068920876953,-1.51632210442052
2024-11-29 08:30:00+00:00,10.32491850089945,-1.61033593655463
2024-12-10 04:30:00+00:00,9.77571390089933,-1.7271551042064348
2024-12-11 08:30:00+00:00,10.420905300238692,-2.2111867151939357
2024-12-12 03:00:00+00:00,9.110433060239643,-2.191639284750224
2024-12-12 12:00:00+00:00,8.495279220239492,-2.28425687185263
2024-12-20 09:00:00+00:00,9.101502589674793,-3.3542459811413905
2025-01-13 02:30:00+00:00,8.387982589674237,-4.681144176261965
2025-01-13 03:00:00+00:00,9.485093236511922,-4.795636268860948
2025-01-13 03:30:00+00:00,8.809512196511848,-4.911524606491602
2025-01-13 05:00:00+00:00,8.219845156511706,-4.925487056808564
2025-01-14 04:00:00+00:00,7.45483035651171,-4.593646154275765
2025-01-24 07:30:00+00:00,8.480994659972495,-2.624475244575608
2025-02-20 02:30:00+00:00,8.843522101027656,-2.8623023149742632
2025-02-21 05:00:00+00:00,9.918375148135695,-2.2940305870744915
2025-02-24 02:30:00+00:00,11.153479226965679,-2.0506185365490426
2025-02-24 03:30:00+00:00,10.828449196720968,-2.080405097225202
2025-02-24 04:00:00+00:00,12.111248108688798,-2.143701538662035
2025-02-24 05:30:00+00:00,11.704804026965277,-2.109726242890797
2025-02-28 05:00:00+00:00,12.454557788689048,-3.2988615948841504
2025-02-28 07:30:00+00:00,13.633306487309271,-3.2290493432994283
2025-03-04 10:00:00+00:00,13.963330137906404,-2.2139792052573437
2025-03-06 11:30:00+00:00,14.574629013829355,0.5231264718749573
2025-03-10 12:30:00+00:00,15.734387387804794,0.9382766612988647
2025-04-02 05:30:00+00:00,17.133816865432493,0.4328359598253506
2025-04-04 07:00:00+00:00,18.139730619458703,2.846943619625608
2025-04-08 08:00:00+00:00,19.843695511830628,1.894239092999217
2025-04-08 08:30:00+00:00,20.266584203755357,1.8006906758756713
2025-04-10 11:30:00+00:00,19.176273366625995,3.045210414126287
2025-05-13 08:00:00+00:00,20.15333129296719,3.3924100120077183
2025-05-13 09:30:00+00:00,19.75264469296718,3.387755861902053
2025-06-11 04:00:00+00:00,20.20243317182362,6.26215896715101
2025-06-13 06:00:00+00:00,19.868727931823706,7.32795934134467
2025-06-13 07:30:00+00:00,21.045417399246947,7.376827917453999
2025-06-17 08:30:00+00:00,20.248958439247634,7.530414870940394
2025-06-19 10:00:00+00:00,19.30760067924735,6.833223185114168
2025-06-23 12:00:00+00:00,20.372179230797617,6.697787417039769
2025-07-08 01:00:00+00:00,23.011777595598492,9.263620370284187
2025-07-08 02:00:00+00:00,22.253274127535526,9.349256732228106
2025-07-08 04:00:00+00:00,21.79492212753551,9.349722147238705
2025-07-14 02:00:00+00:00,22.911445500305618,8.73444350327186
2025-07-14 05:30:00+00:00,24.45332633446542,8.624605560778509
2025-07-16 06:30:00+00:00,25.008088014465102,8.235053196935716
2025-07-22 11:00:00+00:00,25.509661614465106,8.875929666483607
2025-07-28 13:00:00+00:00,26.95795280252664,8.329067029069815
2025-08-18 02:30:00+00:00,26.32053826663201,8.91921326246612
2025-08-20 03:00:00+00:00,25.494917146632503,8.29834963837255
2025-08-20 04:30:00+00:00,23.952077746632796,8.296953393340821
2025-08-26 09:00:00+00:00,25.309929861025935,8.30393461849932
2025-09-18 01:00:00+00:00,26.25720514069032,9.987340711712612
2025-09-18 03:30:00+00:00,26.6127145806903,9.952434585920255
2025-09-22 05:00:00+00:00,25.7253174606904,9.225456339417848
2025-09-24 05:30:00+00:00,24.797969220690707,9.81932589289871
2025-09-30 08:00:00+00:00,25.33976744744031,9.365080842587314
2025-09-30 09:00:00+00:00,26.0515645811344,9.33669052694286
2025-09-30 10:30:00+00:00,25.571372581134554,9.331570961826664
