entry_time,fill_time,exit_time,pair,direction,entry_price,fill_price,exit_price,units,notional,margin,leverage,har_rv,z_score,spread,pnl,exit_reason,balance
2024-06-14 02:30:00+00:00,2024-06-14 03:00:00+00:00,2024-06-14 04:30:00+00:00,USD_CHF,1,0.893745,0.89366,0.8942136148012516,559496,499999.19536,10000.0,49.999919536,0.00015107261557048806,-1.5154718313489368,0.00017000000000000348,262.1881068410646,tp,100262.18810684106
2024-06-26 06:00:00+00:00,2024-06-26 06:30:00+00:00,2024-06-26 07:00:00+00:00,AUD_USD,-1,0.66862,0.6686799999999999,0.6683370101893624,-747741,499999.45187999995,10000.0,49.999945188,0.000366560688236451,1.5197600905620088,0.00012000000000000899,211.60308399590446,tp,100473.79119083696
2024-06-28 07:00:00+00:00,2024-06-28 07:30:00+00:00,2024-06-28 09:00:00+00:00,USD_CAD,-1,1.37135,1.3714400000000002,1.3706853368397058,-364580,499999.5952000001,10000.0,49.99995952000001,5.468764241556993e-05,2.0737187180823757,0.000180000000000069,242.32289498011164,tp,100716.11408581707
2024-07-01 00:00:00+00:00,2024-07-01 00:30:00+00:00,2024-07-01 03:30:00+00:00,NZD_USD,-1,0.6098399999999999,0.60992,0.609935,-819779,499999.60768,10000.0,49.999960768,3.279441183253413e-05,1.6194018663236263,0.000160000000000049,-77.87900500000961,time,100638.23508081706
2024-07-02 00:30:00+00:00,2024-07-02 01:00:00+00:00,2024-07-02 02:30:00+00:00,NZD_USD,1,0.6056349999999999,0.6055599999999999,0.605185,323116,195666.12495999996,10000.0,19.566612495999994,0.0015332239743475946,-1.9465450135402178,0.00014999999999998348,-145.40219999996606,sl,100492.83288081709
2024-07-12 01:00:00+00:00,2024-07-12 01:30:00+00:00,2024-07-12 04:30:00+00:00,EUR_USD,-1,1.086925,1.0870099999999998,1.08698,-459977,499999.5987699999,10000.0,49.999959876999995,5.059890706372439e-05,4.9597007182767525,0.00017000000000000348,-25.29873500011467,time,100467.53414581697
2024-07-12 01:00:00+00:00,2024-07-12 01:30:00+00:00,2024-07-12 04:30:00+00:00,USD_CAD,-1,1.36322,1.36332,1.36205,-366751,499998.97332000005,10000.0,49.999897332,1.1003480767886413e-05,5.2105656885327125,0.00019999999999997797,429.0986700000423,time,100896.632815817
2024-07-17 00:00:00+00:00,2024-07-17 00:30:00+00:00,2024-07-17 03:30:00+00:00,GBP_USD,1,1.2969650000000001,1.2968800000000003,1.2975156471358094,385540,499999.1152000001,10000.0,49.99991152000001,0.0005933414757247799,-1.607347431649068,0.00017000000000000348,212.29649673984096,tp,101108.92931255685
2024-07-17 00:30:00+00:00,2024-07-17 01:00:00+00:00,2024-07-17 01:30:00+00:00,NZD_USD,-1,0.60758,0.60764,0.60794,-822855,499999.6122,10000.0,49.999961219999996,0.0005763878596250684,1.8741922849499475,0.00012000000000000899,-296.2278000000679,sl,100812.70151255679
2024-07-18 01:30:00+00:00,2024-07-18 02:00:00+00:00,2024-07-18 05:00:00+00:00,GBP_USD,-1,1.3003550000000001,1.30044,1.300615,-384485,499999.6734,10000.0,49.999967340000005,8.45851291652216e-05,2.5381628263536267,0.00017000000000000348,-99.96610000001459,time,100712.73541255677
