time,balance
2024-06-14 04:30:00+00:00,100262.18810684106
2024-06-26 07:00:00+00:00,100473.79119083696
2024-06-28 09:00:00+00:00,100716.11408581707
2024-07-01 03:30:00+00:00,100638.23508081706
2024-07-02 02:30:00+00:00,100492.83288081709
2024-07-12 04:30:00+00:00,100467.53414581697
2024-07-12 04:30:00+00:00,100896.632815817
2024-07-17 03:30:00+00:00,101108.92931255685
2024-07-17 01:30:00+00:00,100812.70151255679
2024-07-18 05:00:00+00:00,100712.73541255677
2024-07-18 03:00:00+00:00,100391.59459255653
2024-07-25 04:30:00+00:00,100469.40051255652
2024-07-31 06:00:00+00:00,100660.01086712725
2024-07-31 07:30:00+00:00,100404.86851712731
2024-08-02 08:00:00+00:00,100622.66416824315
2024-08-06 10:30:00+00:00,100410.22816824312
2024-08-29 03:00:00+00:00,100321.30528824315
2024-09-06 11:00:00+00:00,100666.52003824318
2024-09-11 04:30:00+00:00,100462.73258824305
2024-09-11 10:30:00+00:00,100503.45506824316
2024-09-19 03:00:00+00:00,100603.1349092361
2024-10-11 10:30:00+00:00,100824.10033799012
2024-10-23 02:30:00+00:00,100629.58237799008
2024-10-23 06:00:00+00:00,100829.47691011135
2024-10-23 10:30:00+00:00,100649.33921011124
2024-10-29 03:00:00+00:00,100323.28517011132
2024-11-01 01:00:00+00:00,100469.98932067244
2024-11-04 02:00:00+00:00,100318.6707606725
2024-11-06 01:00:00+00:00,100422.34401862684
2024-11-06 02:00:00+00:00,100647.34914592597
2024-11-06 03:00:00+00:00,100703.20604937954
2024-11-06 05:00:00+00:00,100878.7539544493
2024-11-06 08:30:00+00:00,100812.23630444932
2024-11-06 10:30:00+00:00,101555.23055018003
2024-11-07 02:00:00+00:00,101417.58335018008
2024-11-07 03:00:00+00:00,101550.39010147112
2024-11-07 05:30:00+00:00,101388.69514147108
2024-11-07 03:30:00+00:00,101196.09514147093
2024-11-07 06:00:00+00:00,101515.83376810393
2024-11-19 11:30:00+00:00,101366.5905481039
2024-11-19 11:00:00+00:00,101221.22254810392
2024-11-19 13:30:00+00:00,101435.97872907034
2024-11-19 12:00:00+00:00,101999.69457746187
2024-11-28 03:30:00+00:00,102251.56324020852
2024-11-29 03:30:00+00:00,102563.10013021922
2024-11-29 06:30:00+00:00,102429.01723021925
2024-11-29 08:30:00+00:00,102581.22962522486
2024-12-10 04:30:00+00:00,102443.92847522483
2024-12-11 08:30:00+00:00,102605.22632505967
2024-12-12 03:00:00+00:00,102277.60826505991
2024-12-12 12:00:00+00:00,102123.81980505989
2024-12-20 09:00:00+00:00,102275.3756474187
2025-01-13 02:30:00+00:00,102096.99564741855
2025-01-13 03:00:00+00:00,102371.27330912798
2025-01-13 03:30:00+00:00,102202.37804912795
2025-01-13 05:00:00+00:00,102054.96128912792
2025-01-14 04:00:00+00:00,101863.70758912791
2025-01-24 07:30:00+00:00,102120.24866499311
2025-02-20 02:30:00+00:00,102210.88052525693
2025-02-21 05:00:00+00:00,102479.59378703393
2025-02-24 02:30:00+00:00,102788.36980674142
2025-02-24 05:30:00+00:00,102926.20100674132
2025-02-24 03:30:00+00:00,102707.11229918023
2025-02-24 04:00:00+00:00,103027.81202717221
2025-02-28 05:00:00+00:00,103113.63944717226
2025-02-28 07:30:00+00:00,103408.32662182733
2025-03-04 10:00:00+00:00,103490.8325344766
2025-03-06 11:30:00+00:00,103643.65725345734
2025-03-10 12:30:00+00:00,103933.59684695119
2025-04-02 05:30:00+00:00,104283.45421635812
2025-04-04 07:00:00+00:00,104534.93265486468
2025-04-08 08:00:00+00:00,104960.92387795766
2025-04-08 08:30:00+00:00,105066.64605093883
2025-04-10 11:30:00+00:00,104794.0683416565
2025-05-13 08:00:00+00:00,105038.3328232418
2025-05-13 09:30:00+00:00,104938.1611732418
2025-05-13 09:30:00+00:00,104712.98153324175
2025-06-11 04:00:00+00:00,105050.6082929559
2025-06-13 06:00:00+00:00,104967.18198295591
2025-06-13 07:30:00+00:00,105261.35434981174
2025-06-17 08:30:00+00:00,105062.2396098119
2025-06-19 10:00:00+00:00,104826.90016981185
