time,balance
2024-06-14 04:30:00+00:00,505243.76213682117
2024-06-26 07:00:00+00:00,509475.82381673914
2024-06-28 09:00:00+00:00,514322.2817163417
2024-07-01 03:30:00+00:00,512764.7016163412
2024-07-02 02:30:00+00:00,509856.65761634154
2024-07-12 04:30:00+00:00,509350.68291633914
2024-07-12 04:30:00+00:00,517932.65631634014
2024-07-17 03:30:00+00:00,522178.58625113673
2024-07-17 01:30:00+00:00,516254.030251136
2024-07-18 05:00:00+00:00,514254.7082511353
2024-07-18 03:00:00+00:00,507831.89185113035
2024-07-25 04:30:00+00:00,509388.0102511303
2024-07-31 06:00:00+00:00,513200.21734254493
2024-07-31 07:30:00+00:00,508097.3703425465
2024-08-02 08:00:00+00:00,512453.2833648633
2024-08-06 10:30:00+00:00,508204.5633648624
2024-08-29 03:00:00+00:00,506426.1057648633
2024-09-06 11:00:00+00:00,513330.4007648636
2024-09-11 04:30:00+00:00,509254.6517648609
2024-09-11 10:30:00+00:00,510069.10136486316
2024-09-19 03:00:00+00:00,512062.6981847221
2024-10-11 10:30:00+00:00,516482.00675980246
2024-10-23 02:30:00+00:00,512591.64755980164
2024-10-23 06:00:00+00:00,516589.53820222727
2024-10-23 10:30:00+00:00,512986.7842022248
2024-10-29 03:00:00+00:00,506465.7034022265
2024-11-01 01:00:00+00:00,509399.78641344875
2024-11-04 02:00:00+00:00,506373.4152134499
2024-11-06 01:00:00+00:00,508446.88037253683
2024-11-06 02:00:00+00:00,512946.98291851906
2024-11-06 03:00:00+00:00,514064.12098759087
2024-11-06 05:00:00+00:00,517575.0790889861
2024-11-06 08:30:00+00:00,516244.7260889865
2024-11-06 10:30:00+00:00,531104.6110036009
2024-11-07 02:00:00+00:00,528351.6670036016
2024-11-07 03:00:00+00:00,531007.8020294223
2024-11-07 05:30:00+00:00,527773.9028294216
2024-11-07 03:30:00+00:00,523921.90282941854
2024-11-07 06:00:00+00:00,530316.6753620785
2024-11-19 11:30:00+00:00,527331.8109620779
2024-11-19 11:00:00+00:00,524424.4509620784
2024-11-19 13:30:00+00:00,528719.5745814068
2024-11-19 12:00:00+00:00,539993.8915492375
2024-11-28 03:30:00+00:00,545031.2648041704
2024-11-29 03:30:00+00:00,551262.0026043843
2024-11-29 06:30:00+00:00,548580.3446043847
2024-11-29 08:30:00+00:00,551624.5925044973
2024-12-10 04:30:00+00:00,548878.5695044966
2024-12-11 08:30:00+00:00,552104.5265011934
2024-12-12 03:00:00+00:00,545552.1653011983
2024-12-12 12:00:00+00:00,542476.3961011975
2024-12-20 09:00:00+00:00,545507.5129483739
2025-01-13 02:30:00+00:00,541939.9129483711
2025-01-13 03:00:00+00:00,547425.4661825596
2025-01-13 03:30:00+00:00,544047.5609825592
2025-01-13 05:00:00+00:00,541099.2257825586
2025-01-14 04:00:00+00:00,537274.1517825585
2025-01-24 07:30:00+00:00,542404.9732998625
2025-02-20 02:30:00+00:00,544217.6105051383
2025-02-21 05:00:00+00:00,549591.8757406785
2025-02-24 02:30:00+00:00,555767.3961348285
2025-02-24 05:30:00+00:00,558524.0201348264
2025-02-24 03:30:00+00:00,554142.2459836048
