time,pair,direction,z_score,abs_z,spread,hawkes_intensity,kappa,har_rv,cross_corr,kalman_uncertainty,regime,entry_price,sl_price,tp_price,pair_index
2024-06-14 02:30:00+00:00,USD_CHF,1,-1.5154718313489368,1.5154718313489368,0.00017000000000000348,0.008480893849591817,0.2863546524923367,0.00015107261557048806,0.044626515673737745,0.06638004374289098,transitional,0.893745,0.893235,0.8942136148012516,5
2024-06-26 06:00:00+00:00,AUD_USD,-1,1.5197600905620088,1.5197600905620088,0.00012000000000000899,0.03631419400959121,0.2407074387593848,0.000366560688236451,0.1037253931413621,0.06879515336403226,transitional,0.66862,0.66898,0.6683370101893624,2
2024-06-28 07:00:00+00:00,USD_CAD,-1,2.0737187180823757,2.0737187180823757,0.000180000000000069,0.056972644559324034,0.3477480134769651,5.468764241556993e-05,-0.13245742660847437,0.06914065204378865,macro,1.37135,1.3718900000000003,1.3706853368397058,4
2024-06-28 07:30:00+00:00,USD_CAD,-1,2.603257231612763,2.603257231612763,0.000180000000000069,0.056972644559324034,0.3477480134769651,0.000269807124366646,-0.13280539466248031,0.06915035584025721,macro,1.3709799999999999,1.37152,1.3700919248926142,4
2024-07-01 00:00:00+00:00,NZD_USD,-1,1.6194018663236263,1.6194018663236263,0.000160000000000049,0.002446352614030935,0.19849755753388637,3.279441183253413e-05,-0.14906193097192874,0.06929888727831869,macro,0.6098399999999999,0.6103200000000001,0.6095999999999999,3
2024-07-02 00:30:00+00:00,NZD_USD,1,-1.9465450135402178,1.9465450135402178,0.00014999999999998348,0.002446352614029012,0.21182434170519032,0.0015332239743475946,-0.14914188097840586,0.06941599507952655,macro,0.6056349999999999,0.605185,0.6059130820611717,3
2024-07-02 01:00:00+00:00,NZD_USD,1,-1.615264823460984,1.615264823460984,0.00012999999999996348,0.0024463526140290105,0.21182434170519032,0.0002806971195521059,-0.15169336716951654,0.06942329223961015,macro,0.605465,0.6050750000000001,0.6056793369780529,3
2024-07-12 01:00:00+00:00,EUR_USD,-1,4.9597007182767525,4.9597007182767525,0.00017000000000000348,0.010694629006248,0.3192079833889456,5.059890706372439e-05,0.13235889581605678,0.07022305815578972,transitional,1.086925,1.087435,1.0850772910425672,0
2024-07-12 01:00:00+00:00,USD_CAD,-1,5.2105656885327125,5.2105656885327125,0.00019999999999997797,0.0,0.37368576198208786,1.1003480767886413e-05,0.13235889581605678,0.07022305815578972,transitional,1.36322,1.36382,1.3611159892196867,4
2024-07-17 00:00:00+00:00,GBP_USD,1,-1.607347431649068,1.607347431649068,0.00017000000000000348,0.002446355869423967,0.31438475701832663,0.0005933414757247799,-0.03322203002961002,0.07071539766048006,transitional,1.2969650000000001,1.2964550000000001,1.2975156471358094,1
